type,node_id,parent_id,planet_id,depth,size,x,y,z,image_id
image,,0_node_15,0,,1,-1.7339745,4.7973857,8.553593,3205.jpg
image,,0_node_15,0,,1,-1.8167058,5.0145392,8.855313,15553.jpg
image,,0_node_15,0,,1,-1.7354256,5.400061,8.620428,2397.jpg
image,,0_node_15,0,,1,-1.888685,5.313111,8.524007,17587.jpg
image,,0_node_15,0,,1,-1.9433593,4.9208465,9.082113,18984.jpg
image,,0_node_15,0,,1,-1.9220362,5.2265725,8.703947,3015.jpg
image,,0_node_15,0,,1,-2.2326558,5.2396092,9.023369,19450.jpg
image,,0_node_15,0,,1,-2.3576064,5.3109603,8.990381,5989.jpg
image,,0_node_15,0,,1,-1.8780804,5.135268,9.020979,3505.jpg
image,,0_node_15,0,,1,-1.6119276,5.4273195,8.583393,17137.jpg
image,,0_node_15,0,,1,-1.8420818,4.9766865,8.9287405,18997.jpg
image,,0_node_15,0,,1,-2.0716047,5.2915273,9.03717,14442.jpg
image,,0_node_15,0,,1,-1.9823042,5.0230155,8.872883,3274.jpg
image,,0_node_15,0,,1,-2.1421645,5.381881,8.937199,3340.jpg
image,,0_node_15,0,,1,-2.2605562,5.24912,9.048313,6072.jpg
image,,0_node_15,0,,1,-2.1634126,5.2549057,9.073358,17089.jpg
image,,0_node_15,0,,1,-1.8135831,5.341614,8.7874155,14586.jpg
image,,0_node_15,0,,1,-2.256238,5.0625997,9.022929,10580.jpg
image,,0_node_15,0,,1,-2.3212936,5.2021656,9.201496,15953.jpg
image,,0_node_15,0,,1,-2.2767122,5.351255,9.02942,3273.jpg
image,,0_node_15,0,,1,-1.7109348,4.896071,8.721147,3069.jpg
image,,0_node_15,0,,1,-1.9561932,4.7343025,8.455165,3797.jpg
image,,0_node_15,0,,1,-2.4029596,5.249385,9.187934,12228.jpg
image,,0_node_14,0,,1,-1.2303911,5.0012703,8.065942,16416.jpg
image,,0_node_14,0,,1,-1.2591095,5.055314,8.050944,9091.jpg
image,,0_node_14,0,,1,-1.1913954,4.845053,7.997512,10080.jpg
image,,0_node_14,0,,1,-1.2515157,4.9790955,8.076998,1852.jpg
image,,0_node_14,0,,1,-1.2984818,5.055853,8.131591,1556.jpg
image,,0_node_9,0,,1,-2.488248,5.4469085,8.025468,2256.jpg
image,,0_node_9,0,,1,-2.6023195,5.5893717,7.9902487,4950.jpg
image,,0_node_9,0,,1,-2.151152,5.321238,7.756298,17229.jpg
image,,0_node_9,0,,1,-2.3084118,5.414835,8.032195,16440.jpg
image,,0_node_9,0,,1,-2.1360176,5.199264,7.772026,9350.jpg
image,,0_node_9,0,,1,-2.365188,5.425777,7.979027,10900.jpg
image,,0_node_9,0,,1,-2.1690233,5.3392925,7.841377,9362.jpg
image,,0_node_16,0,,1,-1.388469,5.3634644,8.229918,19700.jpg
image,,0_node_16,0,,1,-1.3417989,5.08843,8.095152,8621.jpg
image,,0_node_16,0,,1,-1.4110818,5.2787085,8.192193,18313.jpg
image,,0_node_16,0,,1,-1.4831455,5.2169065,8.315195,3182.jpg
image,,0_node_16,0,,1,-1.3607539,5.3000307,8.1293125,9847.jpg
image,,0_node_16,0,,1,-1.597142,5.336201,7.9232526,18317.jpg
image,,0_node_16,0,,1,-1.4293723,5.308687,8.165126,3837.jpg
image,,0_node_16,0,,1,-1.3161255,5.214135,8.323169,18217.jpg
image,,0_node_16,0,,1,-1.5454743,5.152179,8.198514,14280.jpg
